"date","variable","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","region","fit"
2020-03-19,"growth_rate","estimate",-0.0519765866840426,-0.0491246745831752,0.0584469401726004,-0.138370293855955,-0.0872470766429782,-0.0654855018428176,-0.0376153425845558,-0.014887410372123,0.0487002839183308,"Analamanga","EpiNow2-IPM-dat"
2020-03-20,"growth_rate","estimate",-0.0514522651011187,-0.0496500338219862,0.05314572613494,-0.132892970179459,-0.0849032943764499,-0.0645159887939176,-0.0381966296043668,-0.0182627911411802,0.0400583886033172,"Analamanga","EpiNow2-IPM-dat"
2020-03-21,"growth_rate","estimate",-0.0512215397287353,-0.049978560974819,0.0483960485913248,-0.125829983160951,-0.0819011606070549,-0.0631389197747396,-0.0392258227889046,-0.0207473824747433,0.0314567316721444,"Analamanga","EpiNow2-IPM-dat"
2020-03-22,"growth_rate","estimate",-0.0504789079844823,-0.0501263607867317,0.0441543229725908,-0.11992326992379,-0.0791250260676362,-0.0616189430869884,-0.0402541117709569,-0.0227700044674449,0.0241837509643762,"Analamanga","EpiNow2-IPM-dat"
2020-03-23,"growth_rate","estimate",-0.0505027999089332,-0.0501130398586144,0.0403926157258019,-0.113792407812942,-0.076706664157468,-0.060056546382864,-0.0413085980470201,-0.0242374273543127,0.0164733426412356,"Analamanga","EpiNow2-IPM-dat"
2020-03-24,"growth_rate","estimate",-0.050344351811833,-0.0499596287683283,0.0371111877825539,-0.109438463337105,-0.0744477386146897,-0.0590932881097715,-0.0416999569181759,-0.0260963438895107,0.0113296301115936,"Analamanga","EpiNow2-IPM-dat"
2020-03-25,"growth_rate","estimate",-0.0495391214767413,-0.0496869922904825,0.0343390553685615,-0.104578040125388,-0.0729719136676482,-0.0581403168685398,-0.0414974271833578,-0.0276270854280798,0.00594367813496495,"Analamanga","EpiNow2-IPM-dat"
2020-03-26,"growth_rate","estimate",-0.0491506746191919,-0.0493144593400556,0.0321171211329686,-0.101109333951909,-0.0711939534078753,-0.0574541020419257,-0.0414380293388584,-0.0285148121902103,0.00282268270316024,"Analamanga","EpiNow2-IPM-dat"
2020-03-27,"growth_rate","estimate",-0.0489752342080933,-0.0488583107394698,0.0304673754225754,-0.0978747951257925,-0.0694914899246175,-0.0562329315096368,-0.0415584750415084,-0.0294161140528077,0.000417230333118495,"Analamanga","EpiNow2-IPM-dat"
2020-03-28,"growth_rate","estimate",-0.0484338669929074,-0.048329906636906,0.0293641901020936,-0.0961217491713387,-0.0681523719520475,-0.0558161275212186,-0.0411414707659846,-0.0288768086384211,-0.000207681724278664,"Analamanga","EpiNow2-IPM-dat"
2020-03-29,"growth_rate","estimate",-0.0475459110829435,-0.0477335098617391,0.0287268986242573,-0.0954281757921345,-0.0672169143765219,-0.0547780903428276,-0.0409049306693282,-0.0295506667955377,8.97081005272562e-05,"Analamanga","EpiNow2-IPM-dat"
2020-03-30,"growth_rate","estimate",-0.0468125381315361,-0.0470640728663773,0.0284398243653694,-0.0936044813752562,-0.0655552454569093,-0.0541188795443122,-0.0399770665129651,-0.0288084311616031,-0.000214548278540316,"Analamanga","EpiNow2-IPM-dat"
2020-03-31,"growth_rate","estimate",-0.0460240128453051,-0.0463053082343875,0.028388020425429,-0.0930093635061166,-0.0645210387038256,-0.0528242783332845,-0.0389435186993648,-0.0282919563589935,5.33912462795816e-05,"Analamanga","EpiNow2-IPM-dat"
2020-04-01,"growth_rate","estimate",-0.0449947633699807,-0.0454283264787694,0.0284900703643466,-0.0924907910365579,-0.0632334582985016,-0.0513508273334223,-0.0381294779555255,-0.0270539574432678,0.000222509797245408,"Analamanga","EpiNow2-IPM-dat"
2020-04-02,"growth_rate","estimate",-0.0432122814930017,-0.0443910904223055,0.0287143921699358,-0.0935715535229659,-0.0623015199650101,-0.0500855943674519,-0.0366083185184334,-0.0257714496376654,0.000829827953708724,"Analamanga","EpiNow2-IPM-dat"
2020-04-03,"growth_rate","estimate",-0.041403521026529,-0.0431388845045368,0.0290747751132958,-0.0933333176844338,-0.0605756469557198,-0.0486273988467176,-0.0346173302925233,-0.0239383396626386,0.00131225194006015,"Analamanga","EpiNow2-IPM-dat"
2020-04-04,"growth_rate","estimate",-0.0393965167740069,-0.0416058766185151,0.0296097770781317,-0.0938437974871186,-0.0596562302974483,-0.0464535337071727,-0.0323842214423629,-0.0215338671884858,0.00195726348160374,"Analamanga","EpiNow2-IPM-dat"
2020-04-05,"growth_rate","estimate",-0.0371631010930978,-0.0397176905845245,0.0303555712500666,-0.0953907193624242,-0.0579978905684755,-0.0441709982145559,-0.0300759686906083,-0.018927910527013,0.00452633109531856,"Analamanga","EpiNow2-IPM-dat"
2020-04-06,"growth_rate","estimate",-0.034058578975498,-0.0373947760480793,0.0313202290167124,-0.095281307707309,-0.0558845992804205,-0.0414340364858615,-0.0271708353335648,-0.0156680449860799,0.00785856971743996,"Analamanga","EpiNow2-IPM-dat"
2020-04-07,"growth_rate","estimate",-0.0308945936410983,-0.0345562546032847,0.0324641932724003,-0.0952852493868182,-0.0533065953516768,-0.0379702146260308,-0.0234573161518332,-0.011749305524304,0.0110331380467563,"Analamanga","EpiNow2-IPM-dat"
2020-04-08,"growth_rate","estimate",-0.0268927808065032,-0.0311238272687149,0.0336929633900596,-0.0952178738639267,-0.0494515898474322,-0.0343323771318419,-0.0190903808969918,-0.00793155658200474,0.0152527348816222,"Analamanga","EpiNow2-IPM-dat"
