"","date","confirm","region"
"153",2020-04-08,1,"Analamanga"
"154",2020-04-09,2,"Analamanga"
"155",2020-04-10,0,"Analamanga"
"156",2020-04-11,1,"Analamanga"
"157",2020-04-12,2,"Analamanga"
"158",2020-04-13,3,"Analamanga"
"159",2020-04-14,2,"Analamanga"
"160",2020-04-15,2,"Analamanga"
"161",2020-04-16,1,"Analamanga"
"162",2020-04-17,1,"Analamanga"
"163",2020-04-18,0,"Analamanga"
"164",2020-04-19,0,"Analamanga"
"165",2020-04-20,0,"Analamanga"
"166",2020-04-21,0,"Analamanga"
"167",2020-04-22,1,"Analamanga"
"168",2020-04-23,0,"Analamanga"
"169",2020-04-24,3,"Analamanga"
"170",2020-04-25,0,"Analamanga"
"171",2020-04-26,0,"Analamanga"
"172",2020-04-27,0,"Analamanga"
"173",2020-04-28,0,"Analamanga"
"174",2020-04-29,2,"Analamanga"
"175",2020-04-30,0,"Analamanga"
"176",2020-05-01,6,"Analamanga"
"177",2020-05-02,5,"Analamanga"
"178",2020-05-03,19,"Analamanga"
"179",2020-05-04,29,"Analamanga"
"180",2020-05-05,1,"Analamanga"
"181",2020-05-06,1,"Analamanga"
"182",2020-05-07,3,"Analamanga"
"183",2020-05-08,0,"Analamanga"
"184",2020-05-09,2,"Analamanga"
"185",2020-05-10,0,"Analamanga"
"186",2020-05-11,0,"Analamanga"
"187",2020-05-12,1,"Analamanga"
"188",2020-05-13,1,"Analamanga"
"189",2020-05-14,3,"Analamanga"
"190",2020-05-15,1,"Analamanga"
"191",2020-05-16,0,"Analamanga"
"192",2020-05-17,1,"Analamanga"
"193",2020-05-18,0,"Analamanga"
"194",2020-05-19,0,"Analamanga"
"195",2020-05-20,0,"Analamanga"
"196",2020-05-21,1,"Analamanga"
"197",2020-05-22,6,"Analamanga"
"198",2020-05-23,2,"Analamanga"
"199",2020-05-24,1,"Analamanga"
"200",2020-05-25,2,"Analamanga"
"201",2020-05-26,16,"Analamanga"
"202",2020-05-27,7,"Analamanga"
"203",2020-05-28,1,"Analamanga"
"204",2020-05-29,0,"Analamanga"
"205",2020-05-30,11,"Analamanga"
"206",2020-05-31,4,"Analamanga"
"207",2020-06-01,4,"Analamanga"
"208",2020-06-02,5,"Analamanga"
"209",2020-06-03,7,"Analamanga"
"210",2020-06-04,4,"Analamanga"
"211",2020-06-05,0,"Analamanga"
"212",2020-06-06,0,"Analamanga"
"213",2020-06-07,0,"Analamanga"
"214",2020-06-08,4,"Analamanga"
"215",2020-06-09,22,"Analamanga"
"216",2020-06-10,16,"Analamanga"
"217",2020-06-11,2,"Analamanga"
"218",2020-06-12,0,"Analamanga"
"219",2020-06-13,9,"Analamanga"
"220",2020-06-14,2,"Analamanga"
"221",2020-06-15,50,"Analamanga"
"222",2020-06-16,26,"Analamanga"
"223",2020-06-17,20,"Analamanga"
"224",2020-06-18,3,"Analamanga"
"225",2020-06-19,6,"Analamanga"
"226",2020-06-20,17,"Analamanga"
"227",2020-06-21,2,"Analamanga"
"228",2020-06-22,17,"Analamanga"
"229",2020-06-23,3,"Analamanga"
"230",2020-06-24,16,"Analamanga"
"231",2020-06-25,22,"Analamanga"
"232",2020-06-26,88,"Analamanga"
"233",2020-06-27,120,"Analamanga"
"234",2020-06-28,72,"Analamanga"
"235",2020-06-29,83,"Analamanga"
"236",2020-06-30,131,"Analamanga"
"237",2020-07-01,41,"Analamanga"
"238",2020-07-02,6,"Analamanga"
"239",2020-07-03,92,"Analamanga"
"240",2020-07-04,105,"Analamanga"
"241",2020-07-05,56,"Analamanga"
"242",2020-07-06,58,"Analamanga"
"243",2020-07-07,174,"Analamanga"
"244",2020-07-08,156,"Analamanga"
"245",2020-07-09,55,"Analamanga"
"246",2020-07-10,80,"Analamanga"
"247",2020-07-11,23,"Analamanga"
"248",2020-07-12,19,"Analamanga"
"249",2020-07-13,28,"Analamanga"
"250",2020-07-14,94,"Analamanga"
"251",2020-07-15,47,"Analamanga"
"252",2020-07-16,10,"Analamanga"
"253",2020-07-17,56,"Analamanga"
"254",2020-07-18,42,"Analamanga"
"255",2020-07-19,27,"Analamanga"
"256",2020-07-20,67,"Analamanga"
"257",2020-07-21,23,"Analamanga"
"258",2020-07-22,57,"Analamanga"
"259",2020-07-23,41,"Analamanga"
"260",2020-07-24,35,"Analamanga"
"261",2020-07-25,35,"Analamanga"
"262",2020-07-26,10,"Analamanga"
"263",2020-07-27,31,"Analamanga"
"264",2020-07-28,46,"Analamanga"
"265",2020-07-29,30,"Analamanga"
"266",2020-07-30,31,"Analamanga"
"267",2020-07-31,25,"Analamanga"
"268",2020-08-01,26,"Analamanga"
"269",2020-08-02,31,"Analamanga"
"270",2020-08-03,53,"Analamanga"
"271",2020-08-04,23,"Analamanga"
"272",2020-08-05,34,"Analamanga"
"273",2020-08-06,41,"Analamanga"
"274",2020-08-07,49,"Analamanga"
"275",2020-08-08,22,"Analamanga"
"276",2020-08-09,7,"Analamanga"
"277",2020-08-10,26,"Analamanga"
"278",2020-08-11,40,"Analamanga"
"279",2020-08-12,33,"Analamanga"
"280",2020-08-13,22,"Analamanga"
"281",2020-08-14,20,"Analamanga"
"282",2020-08-15,19,"Analamanga"
"283",2020-08-16,12,"Analamanga"
"284",2020-08-17,44,"Analamanga"
"285",2020-08-18,35,"Analamanga"
"286",2020-08-19,16,"Analamanga"
"287",2020-08-20,28,"Analamanga"
"288",2020-08-21,31,"Analamanga"
"289",2020-08-22,7,"Analamanga"
"290",2020-08-23,8,"Analamanga"
"291",2020-08-24,17,"Analamanga"
"292",2020-08-25,1,"Analamanga"
"293",2020-08-26,38,"Analamanga"
"294",2020-08-27,19,"Analamanga"
"295",2020-08-28,21,"Analamanga"
"296",2020-08-29,17,"Analamanga"
"297",2020-08-30,7,"Analamanga"
"298",2020-08-31,13,"Analamanga"
"299",2020-09-01,23,"Analamanga"
"300",2020-09-02,5,"Analamanga"
"301",2020-09-03,8,"Analamanga"
"302",2020-09-04,10,"Analamanga"
"303",2020-09-05,8,"Analamanga"
"304",2020-09-06,4,"Analamanga"
"305",2020-09-07,19,"Analamanga"
"306",2020-09-08,8,"Analamanga"
"307",2020-09-09,9,"Analamanga"
"308",2020-09-10,6,"Analamanga"
"309",2020-09-11,4,"Analamanga"
"310",2020-09-12,4,"Analamanga"
"311",2020-09-13,9,"Analamanga"
"312",2020-09-14,6,"Analamanga"
"313",2020-09-15,6,"Analamanga"
"314",2020-09-16,3,"Analamanga"
"315",2020-09-17,7,"Analamanga"
"316",2020-09-18,4,"Analamanga"
"317",2020-09-19,4,"Analamanga"
"318",2020-09-20,3,"Analamanga"
"319",2020-09-21,9,"Analamanga"
"320",2020-09-22,3,"Analamanga"
"321",2020-09-23,8,"Analamanga"
"322",2020-09-24,6,"Analamanga"
"323",2020-09-25,5,"Analamanga"
"324",2020-09-26,2,"Analamanga"
"325",2020-09-27,1,"Analamanga"
"326",2020-09-28,3,"Analamanga"
"327",2020-09-29,4,"Analamanga"
"328",2020-09-30,1,"Analamanga"
"329",2020-10-01,0,"Analamanga"
"330",2020-10-02,0,"Analamanga"
"331",2020-10-03,0,"Analamanga"
"332",2020-10-04,0,"Analamanga"
"333",2020-10-05,0,"Analamanga"
"334",2020-10-06,0,"Analamanga"
"335",2020-10-07,0,"Analamanga"
"336",2020-03-18,1,"National"
"337",2020-03-19,2,"National"
"338",2020-03-20,13,"National"
"339",2020-03-21,0,"National"
"340",2020-03-22,2,"National"
"341",2020-03-23,0,"National"
"342",2020-03-24,5,"National"
"343",2020-03-25,5,"National"
"344",2020-03-26,14,"National"
"345",2020-03-27,3,"National"
"346",2020-03-28,3,"National"
"347",2020-03-29,1,"National"
"348",2020-03-30,2,"National"
"349",2020-03-31,7,"National"
"350",2020-04-01,5,"National"
"351",2020-04-02,0,"National"
"352",2020-04-03,5,"National"
"353",2020-04-04,9,"National"
"354",2020-04-05,4,"National"
"355",2020-04-06,6,"National"
"356",2020-04-07,2,"National"
"357",2020-04-08,4,"National"
"358",2020-04-09,2,"National"
"359",2020-04-10,1,"National"
"360",2020-04-11,1,"National"
"361",2020-04-12,4,"National"
"362",2020-04-13,3,"National"
"363",2020-04-14,4,"National"
"364",2020-04-15,2,"National"
"365",2020-04-16,2,"National"
"366",2020-04-17,1,"National"
"367",2020-04-18,0,"National"
"368",2020-04-19,0,"National"
"369",2020-04-20,0,"National"
"370",2020-04-21,0,"National"
"371",2020-04-22,1,"National"
"372",2020-04-23,2,"National"
"373",2020-04-24,4,"National"
"374",2020-04-25,0,"National"
"375",2020-04-26,0,"National"
"376",2020-04-27,0,"National"
"377",2020-04-28,3,"National"
"378",2020-04-29,2,"National"
"379",2020-04-30,8,"National"
"380",2020-05-01,8,"National"
"381",2020-05-02,9,"National"
"382",2020-05-03,19,"National"
"383",2020-05-04,47,"National"
"384",2020-05-05,5,"National"
"385",2020-05-06,71,"National"
"386",2020-05-07,23,"National"
"387",2020-05-08,12,"National"
"388",2020-05-09,12,"National"
"389",2020-05-10,9,"National"
"390",2020-05-11,26,"National"
"391",2020-05-12,13,"National"
"392",2020-05-13,24,"National"
"393",2020-05-14,31,"National"
"394",2020-05-15,47,"National"
"395",2020-05-16,20,"National"
"396",2020-05-17,5,"National"
"397",2020-05-18,23,"National"
"398",2020-05-19,17,"National"
"399",2020-05-20,26,"National"
"400",2020-05-21,10,"National"
"401",2020-05-22,17,"National"
"402",2020-05-23,6,"National"
"403",2020-05-24,16,"National"
"404",2020-05-25,21,"National"
"405",2020-05-26,45,"National"
"406",2020-05-27,42,"National"
"407",2020-05-28,17,"National"
"408",2020-05-29,36,"National"
"409",2020-05-30,37,"National"
"410",2020-05-31,14,"National"
"411",2020-06-01,31,"National"
"412",2020-06-02,71,"National"
"413",2020-06-03,30,"National"
"414",2020-06-04,31,"National"
"415",2020-06-05,6,"National"
"416",2020-06-06,12,"National"
"417",2020-06-07,3,"National"
"418",2020-06-08,20,"National"
"419",2020-06-09,27,"National"
"420",2020-06-10,27,"National"
"421",2020-06-11,13,"National"
"422",2020-06-12,10,"National"
"423",2020-06-13,16,"National"
"424",2020-06-14,5,"National"
"425",2020-06-15,67,"National"
"426",2020-06-16,30,"National"
"427",2020-06-17,23,"National"
"428",2020-06-18,9,"National"
"429",2020-06-19,13,"National"
"430",2020-06-20,31,"National"
"431",2020-06-21,3,"National"
"432",2020-06-22,30,"National"
"433",2020-06-23,9,"National"
"434",2020-06-24,29,"National"
"435",2020-06-25,31,"National"
