"t","ct","lower_expec","median_expec","upper_expec","district","fit","date"
35,0,3.33587617679833e-14,8.53828746976902e-12,1.44460480768127e-10,"National","gp",2020-03-17
35,13,0.0978874092815406,0.139818803712258,0.162291124448917,"National","gp",2020-03-17
35,26,0.898262853172819,0.929850905760665,0.966748596428341,"National","gp",2020-03-17
35,2,1.64664476268324e-09,3.95391364070355e-08,1.95259948957768e-07,"National","gp",2020-03-17
35,3,8.48987915922154e-08,8.67521202090874e-07,2.89379092427525e-06,"National","gp",2020-03-17
35,16,0.257117012092149,0.341677694975487,0.384513564203326,"National","gp",2020-03-17
35,29,0.937273799809591,0.978640026996621,1.0609455292624,"National","gp",2020-03-17
35,6,0.000203678486385371,0.000438224280427733,0.000767301157131279,"National","gp",2020-03-17
35,19,0.462575085826754,0.564409016543879,0.635262146075662,"National","gp",2020-03-17
35,32,0.822523381049905,0.9232714450762,1.03580574623639,"National","gp",2020-03-17
35,9,0.00834752075228143,0.0133572951699173,0.0181303068309913,"National","gp",2020-03-17
35,22,0.682735912690591,0.754343371712885,0.823631940522461,"National","gp",2020-03-17
35,35,0.616534737325673,0.734920765159383,0.844895910553217,"National","gp",2020-03-17
35,11,0.0364368434474169,0.0539100541516009,0.0663216702775928,"National","gp",2020-03-17
35,12,0.061974479121576,0.0909192976558759,0.108049920937244,"National","gp",2020-03-17
35,25,0.863952482702068,0.893622536796708,0.945788139840696,"National","gp",2020-03-17
35,14,0.144230905397018,0.19964035771506,0.228094037379892,"National","gp",2020-03-17
35,15,0.197177319420922,0.267548673472151,0.304269306862269,"National","gp",2020-03-17
35,28,0.935928828010131,0.972344155375187,1.03573764502508,"National","gp",2020-03-17
35,5,2.67851209249616e-05,8.28201250377921e-05,0.000169006885355217,"National","gp",2020-03-17
35,18,0.391140234765453,0.49206086903777,0.553811335707187,"National","gp",2020-03-17
35,31,0.870856135572986,0.956809882092483,1.06964345256576,"National","gp",2020-03-17
35,7,0.000940363478119769,0.00174288728626089,0.00268276386105827,"National","gp",2020-03-17
35,8,0.00304354056986957,0.00531220452479888,0.00762588616216457,"National","gp",2020-03-17
35,21,0.610041849821455,0.696451515014919,0.765879282549426,"National","gp",2020-03-17
35,34,0.691056700710093,0.807122748951934,0.919602534748532,"National","gp",2020-03-17
35,23,0.749658412817885,0.806307304947526,0.873031964427487,"National","gp",2020-03-17
35,24,0.812318359433668,0.850999887698303,0.913647374246618,"National","gp",2020-03-17
35,1,1.32919005868536e-11,9.08921579604237e-10,7.72768150102382e-09,"National","gp",2020-03-17
35,17,0.322283723797732,0.417590585452726,0.469054542343007,"National","gp",2020-03-17
35,27,0.918370110736685,0.955429715466989,0.997702509480776,"National","gp",2020-03-17
35,4,2.10890527175427e-06,1.06040485608581e-05,2.66076605488166e-05,"National","gp",2020-03-17
35,33,0.759927141009919,0.871046092409808,0.982906008945171,"National","gp",2020-03-17
35,30,0.907339691985878,0.973509456476071,1.07357388120218,"National","gp",2020-03-17
35,20,0.536321534715823,0.63298882571538,0.705158373771307,"National","gp",2020-03-17
35,10,0.0190669756801183,0.0286368818808275,0.0368764159185314,"National","gp",2020-03-17
35,36,0.541052749496573,0.65501382222445,0.762715623694414,"National","gp",2020-03-17
42,27,1.63107260807365,1.68913755389928,1.75194766673476,"National","gp",2020-03-24
42,31,1.73363139273064,1.87720538688176,2.102767923612,"National","gp",2020-03-24
42,26,1.53940446633175,1.60173834974536,1.6671000261284,"National","gp",2020-03-24
42,35,1.42685051623666,1.60642268788417,1.93264057522812,"National","gp",2020-03-24
42,36,1.28519769418828,1.45924635501613,1.77779603569476,"National","gp",2020-03-24
42,0,3.59115520464672e-14,8.58087422403904e-12,1.39084370853922e-10,"National","gp",2020-03-24
42,13,0.109592424299502,0.165927756100414,0.22617646749967,"National","gp",2020-03-24
42,1,1.4472386604327e-11,8.74224855339023e-10,7.31785474412288e-09,"National","gp",2020-03-24
42,2,1.94541426432983e-09,3.88626782017583e-08,1.92615332727726e-07,"National","gp",2020-03-24
42,3,1.06653301452234e-07,8.39234455456407e-07,2.97242171876774e-06,"National","gp",2020-03-24
42,29,1.71526544432974,1.82571940728846,1.93275086301042,"National","gp",2020-03-24
42,5,2.69458981245506e-05,8.34776313951555e-05,0.000192564622846198,"National","gp",2020-03-24
42,6,0.000195263358049708,0.000450487248777681,0.000900585763199347,"National","gp",2020-03-24
42,32,1.70297039775712,1.86448690710292,2.12960186527041,"National","gp",2020-03-24
42,7,0.00085014192746818,0.00182214032652417,0.00339103609163019,"National","gp",2020-03-24
42,9,0.00745063512772731,0.0146964485527299,0.023804366310504,"National","gp",2020-03-24
42,22,0.989012054038019,1.18580586439153,1.2823356748088,"National","gp",2020-03-24
42,10,0.0179024427960021,0.031898227078316,0.0491960428645481,"National","gp",2020-03-24
42,24,1.26030638421141,1.41222177005335,1.49099273476007,"National","gp",2020-03-24
42,25,1.40155626163036,1.51078461213361,1.58290475671945,"National","gp",2020-03-24
