"region","run_version","timepoint","parameter","mean","2.5%","25%","psrf","psrf_uci","effective_sample_size"
"National","gp",NA,"prob.177",-0.199558146817949,-2.22956656383189,-0.805620902655233,1.00569706015977,1.01646939346126,837.926530307812
"National","gp",NA,"prob.178",-0.312912497744629,-2.49612153382467,-0.988452535579295,1.00408659743189,1.02017810056402,502.847318420247
"National","gp",NA,"prob.179",-0.207222074140893,-2.08986590831365,-0.885789812332313,1.00110758304404,1.01027736752088,740.967809512471
"National","gp",NA,"prob.180",-0.343036444116735,-2.27568881424082,-1.06992228397805,1.00828468563804,1.03201057493448,647.793651734173
"National","gp",NA,"prob.181",-0.440422709743322,-2.39781421195892,-1.00415833654231,1.01203376268153,1.03830083130203,535.497671159887
"National","gp",NA,"prob.182",-0.441147558593605,-2.32752802642736,-1.12203787078664,1.00004639086752,1.01035942731827,763.376532381899
"National","gp",NA,"prob.183",-0.535680592385078,-2.70116623138124,-1.16110432446997,0.998091478294257,1.00234827777429,858.988160954298
"National","gp",NA,"prob.184",-0.48042905267458,-2.34330676384992,-1.14095080080099,0.998807983771652,1.00584647478377,1022.84734799422
"National","gp",NA,"prob.185",-0.50782805676143,-2.3560257020253,-1.19987742000525,1.00582399211189,1.02007880933167,830.341737434318
"National","gp",NA,"prob.186",-0.391460225244004,-2.29915374203288,-1.02914095362711,1.00074603024395,1.01088849512689,804
"National","gp",NA,"prob.187",-0.519217729910204,-2.30356156788724,-1.22030476780441,1.00624289459364,1.02496690608794,708.453524116856
"National","gp",NA,"prob.188",-0.534300287678692,-2.51407267747891,-1.24045910756814,1.00363286825098,1.02028552852737,767.104137232933
"National","gp",NA,"prob.189",-0.54655559506048,-2.40243057332195,-1.15253265643151,1.00675524821804,1.02661436458866,871.189725773367
"National","gp",NA,"prob.190",-0.566048277188828,-2.55949735283972,-1.21631742763125,1.00836964628224,1.0323079302387,804
"National","gp",NA,"prob.191",-0.686639178488605,-2.50812258284511,-1.36797979834954,1.00060214588094,1.0084336534757,827.86938172691
"National","gp",NA,"prob.192",-0.675026050653306,-2.49558778885952,-1.3756794375206,1.00216871070851,1.01281205293406,455.250370621043
"National","gp",NA,"prob.193",-0.748669260997027,-2.76691042423349,-1.45137655841137,0.997540444250038,0.999086183847271,832.949649514911
"National","gp",NA,"prob.194",-0.641046630223902,-2.45025122417567,-1.34960427121883,1.02781099686577,1.08985045757057,581.559354081774
"National","gp",NA,"prob.195",-0.600490639400699,-2.57783218468591,-1.25937926406144,1.01046063861599,1.03892785480737,1090.8660832199
"National","gp",NA,"prob.196",-0.69768401197947,-2.6940748175182,-1.29923145318831,1.00660080166399,1.02594126332564,691.99337551047
"National","gp",NA,"prob.197",-0.640803830130275,-2.38677624685597,-1.31356677849376,1.00450860052092,1.0220933319146,821.106432106548
"National","gp",NA,"prob.198",-0.637412101226573,-2.61186489258379,-1.32889233492055,1.00933063331673,1.03203081089719,745.475538828061
"National","gp",NA,"prob.199",-0.615603802566149,-2.59603494646141,-1.24906020082655,1.0257661510626,1.08296966232183,866.874172087505
"National","gp",NA,"prob.200",-0.544661513234671,-2.44845531838659,-1.22146340848677,1.0062166085497,1.029155518429,804
"National","gp",NA,"prob.201",-0.601757390331229,-2.4237315540598,-1.28636717567039,0.996088378612731,0.998127132186995,762.596525897838
"National","gp",NA,"prob.202",-0.561483861325893,-2.54356289208553,-1.20287520879259,1.00040227757012,1.00837180117466,804
"National","gp",NA,"prob.203",-0.532401653465415,-2.58944128697651,-1.24393616157225,1.0175903445878,1.05933046727593,603.618024449863
"National","gp",NA,"prob.204",-0.581170460103291,-2.59331354127061,-1.24735625816045,1.00401981202242,1.01108769904984,752.311953088838
"National","gp",NA,"prob.205",-0.427673974243581,-2.323168515857,-1.13649104081771,1.01139082119078,1.02698157657863,1072.97235265649
"National","gp",NA,"prob.206",-0.416861857222343,-2.46696405001944,-1.08190330757995,0.999605618468858,1.00634450767,642.573629122372
"National","gp",NA,"prob.207",-0.313976668425219,-2.34556169006256,-0.911732751255791,1.00745583895556,1.02656753601343,857.91405903931
"National","gp",NA,"prob.208",-0.401273235283995,-2.46138179899441,-1.06001434402934,1.01280073179195,1.04613314249554,938.838882946363
"National","gp",NA,"prob.209",-0.31447521914916,-2.32783170013847,-0.922099687281552,0.99875078776669,0.999945090521871,858.120543513955
"National","gp",NA,"prob.210",-0.336474298832568,-2.25900857869902,-0.997120452866853,1.00096118471575,1.00938253656308,804
"National","gp",NA,"prob.211",-0.280963952218759,-2.32977058777547,-0.883717935545596,1.00534222797042,1.02268756345697,804
"National","gp",NA,"prob.212",-0.192234181950933,-2.15712522505742,-0.839857124560281,0.997949180910105,1.00370718063024,804
