"region","run_version","timepoint","parameter","mean","2.5%","25%","psrf","psrf_uci","effective_sample_size"
"Atsinanana","gp",NA,"viral_peak",18.9809262180775,18.0555295942027,18.6587214594739,1.03189134130471,1.09567724912446,714.720576443504
"Atsinanana","gp",NA,"obs_sd",4.84186511334119,4.31514045685247,4.65061620612828,1.02447727171611,1.07645077876745,718.28023625046
"Atsinanana","gp",NA,"t_switch",23.8477358656715,19.224568516457,22.1987764746544,1.00464748325251,1.02304283523882,660.932742427591
"Atsinanana","gp",NA,"prob_detect",0.193087102261572,0.131334551667738,0.168985596992843,1.00272017737615,1.01829709637766,756.15954651407
"Atsinanana","gp",NA,"prob",-1.96414832113931,-3.63117247929351,-2.57737831164206,1.00060606285454,1.0093783555604,790.16031066501
"Atsinanana","gp",NA,"prob.1",-0.447461039055403,-2.25210129917614,-1.04671237498853,1.01612729451547,1.04979051389317,923.675250375498
"Atsinanana","gp",NA,"prob.2",-0.402484314073771,-2.1442212422652,-1.00993010053542,1.00628619188738,1.02638152129779,915.831264475941
"Atsinanana","gp",NA,"prob.3",-0.409858490732699,-2.28137707306562,-1.05917666320221,1.00114647849393,1.01182862980071,804
"Atsinanana","gp",NA,"prob.4",-0.331519850437245,-2.18768858292771,-1.00438018632045,0.999176431320774,1.00033079612692,894.691677708031
"Atsinanana","gp",NA,"prob.5",-0.325250522219358,-2.23941865165364,-1.01825452642205,1.00497790772877,1.01662705296002,868.800772320152
"Atsinanana","gp",NA,"prob.6",-0.12494275698435,-1.93458607827796,-0.795801029817377,0.998642693081676,1.00286278096461,745.138593174761
"Atsinanana","gp",NA,"prob.7",-0.222149591840954,-2.13719767639943,-0.882492167126886,1.0040073546681,1.01932357488902,853.564024761955
"Atsinanana","gp",NA,"prob.8",-0.180527598114461,-2.37188972617002,-0.791572789147908,1.00342816419933,1.02007233239534,782.7444611781
"Atsinanana","gp",NA,"prob.9",-0.176749667969395,-1.99782562179986,-0.830437020464972,1.00237146820366,1.01692193643042,921.394845960016
"Atsinanana","gp",NA,"prob.10",-0.234829268319602,-2.29092772875657,-0.941634743970303,1.00150526197299,1.01464266027777,877.691499853998
"Atsinanana","gp",NA,"prob.11",-0.274364764006772,-2.31311448028017,-0.981064906004792,1.00855839908456,1.02627262968137,823.494380387371
"Atsinanana","gp",NA,"prob.12",-0.242780705668173,-2.13475197621384,-0.930739014915554,1.02152717007377,1.07238249272324,807.279944337016
"Atsinanana","gp",NA,"prob.13",-0.297775948163948,-2.29276302857875,-1.00950153255055,1.00943419076913,1.0337634701003,764.087054753353
"Atsinanana","gp",NA,"prob.14",-0.273466116557058,-2.0166008521319,-0.899088532723699,1.00452700924043,1.02242309265423,764.503291446875
"Atsinanana","gp",NA,"prob.15",-0.242782672269253,-2.13429383940025,-0.957505038730976,0.997614576998573,1.00069576635809,862.719243329227
"Atsinanana","gp",NA,"prob.16",-0.300428741487443,-2.14887131541706,-0.932225266520112,1.01034925149696,1.03730682433319,871.401960100373
"Atsinanana","gp",NA,"prob.17",-0.333953041121107,-2.21756813396357,-0.979872130884298,0.998312594420193,1.00299216111435,750.964101528731
"Atsinanana","gp",NA,"prob.18",-0.273287042615526,-2.14652867978137,-0.98228800875941,1.0009026289275,1.00966092321942,851.628798819778
"Atsinanana","gp",NA,"prob.19",-0.389681011413274,-2.4341189993067,-1.02062457032392,1.00484533351284,1.02187681477667,691.791428492943
"Atsinanana","gp",NA,"prob.20",-0.444013407940241,-2.38498120940766,-1.11697915371345,0.998474873566658,1.00425240887302,804
"Atsinanana","gp",NA,"prob.21",-0.383452423884122,-2.25336497877238,-1.03701116395259,1.00023480113168,1.0049093041096,788.860198030945
"Atsinanana","gp",NA,"prob.22",-0.439756888785168,-2.36845335897589,-1.12204979133541,1.00426103743453,1.01966390748301,848.358581930059
"Atsinanana","gp",NA,"prob.23",-0.49971604837567,-2.48411219618257,-1.12800338959118,0.996149022879874,0.997507243160873,705.580110324115
"Atsinanana","gp",NA,"prob.24",-0.569513003624818,-2.35370692343465,-1.29383558224771,1.00605108609461,1.0172868227865,939.750368446374
"Atsinanana","gp",NA,"prob.25",-0.511808069301591,-2.51125808494058,-1.16755152418103,1.01349431062431,1.04934757578879,848.148949542117
