"date","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","region","fit"
2020-05-01,"gp_rt",14,17.48625,14.752854727752,2,7,11,17,24,46,"Analamanga","EpiNow2-IPM-dat"
2020-05-02,"gp_rt",9,11.47125,9.97284000783907,1,5,7,11,16,31,"Analamanga","EpiNow2-IPM-dat"
2020-05-03,"gp_rt",7,8.4085,7.25677565784123,1,3,5,8,12,22,"Analamanga","EpiNow2-IPM-dat"
2020-05-04,"gp_rt",14,18.1195,15.0017159892012,2,7,11,18,25,46,"Analamanga","EpiNow2-IPM-dat"
2020-05-05,"gp_rt",13,16.98875,14.2633440743588,2,7,10.6000000000001,17,23,46,"Analamanga","EpiNow2-IPM-dat"
2020-05-06,"gp_rt",11,13.3705,11.1493635166635,1,5,8,13,18,36,"Analamanga","EpiNow2-IPM-dat"
2020-05-07,"gp_rt",9,10.99975,9.2477094445053,1,4,7,11,15,29,"Analamanga","EpiNow2-IPM-dat"
2020-05-08,"gp_rt",11,13.43875,10.8489019308765,1,6,9,13,18,35,"Analamanga","EpiNow2-IPM-dat"
2020-05-09,"gp_rt",7,8.50625,7.24400302543132,1,3,5,8,12,22,"Analamanga","EpiNow2-IPM-dat"
2020-05-10,"gp_rt",4,5.67725,5.04930255595517,0,2,3,6,8,16,"Analamanga","EpiNow2-IPM-dat"
2020-05-11,"gp_rt",9,12.27125,10.4068847043586,1,5,8,12,17,32,"Analamanga","EpiNow2-IPM-dat"
2020-05-12,"gp_rt",8,10.8235,9.38775160621834,1,4,7,10,15,29,"Analamanga","EpiNow2-IPM-dat"
2020-05-13,"gp_rt",7,8.37475,7.16349365518229,1,3,5,8,12,23,"Analamanga","EpiNow2-IPM-dat"
2020-05-14,"gp_rt",5,7.02925,6.37181641673802,0,3,4,7,10,19,"Analamanga","EpiNow2-IPM-dat"
2020-05-15,"gp_rt",7,8.555,7.45435220805339,1,3,5,8,12,23,"Analamanga","EpiNow2-IPM-dat"
2020-05-16,"gp_rt",4,5.57675,5.04994900308245,0,2,3,5,8,15,"Analamanga","EpiNow2-IPM-dat"
