type,date,rt_type,bottom,top,lower,upper,median,mean,std,prob_control,mean_window,sd_window,mean_crps,sd_crps,region
nowcast,2020-03-20,nowcast,0.508705144538949,1.7657855143202854,0.8133789740238726,1.3041219259587666,1.1196981267044308,1.1500269345668253,0.4014786351971026,0.36718146718146716,3.5463320463320462,2.0130839075952562,0.6426254826254826,0.5552092387994463,ANALAMANGA
nowcast,2020-03-21,nowcast,0.4885664460353502,1.703962888513477,0.8389741896916201,1.286810536093219,1.059575977128258,1.0888025687371885,0.3789953152193805,0.42323809523809525,3.603809523809524,2.0750001749156834,0.5834666666666667,0.3970674002297384,ANALAMANGA
nowcast,2020-03-22,nowcast,0.42988833680774474,1.5885374564040875,0.7823659189666575,1.1950180883867063,1.0072935929131472,1.036697034045627,0.36732026251321326,0.49153846153846154,3.6769230769230767,2.02890002596431,0.5796153846153846,0.41005429279719346,ANALAMANGA
nowcast,2020-03-23,nowcast,0.3593845710647366,1.4591839509977762,0.7213883119693502,1.1478091753383886,0.9476310546524097,0.9585255455898272,0.34615179082061265,0.5667311411992263,3.723404255319149,1.9845800729634362,0.5606189555125726,0.4343311865317869,ANALAMANGA
nowcast,2020-03-24,nowcast,0.3265751730407835,1.3577964638733628,0.6484074388020572,1.0576067708064207,0.8645198905536983,0.8722615784585096,0.32578495989405326,0.6736842105263158,3.4830827067669174,2.028773717969311,0.5333082706766917,0.4027663308531574,ANALAMANGA
nowcast,2020-03-25,nowcast,0.2796878304816437,1.3031742539225628,0.6091635141717289,0.9975268142533453,0.8233138240104225,0.8428088059570854,0.3363493038515926,0.7269303201506592,3.6120527306967984,2.024753961126227,0.4918267419962335,0.4070834009954014,ANALAMANGA
nowcast,2020-03-26,nowcast,0.2825434542019032,1.333346071853361,0.5317008902711204,0.9343120709735755,0.7881441830633945,0.826438900770413,0.34017568069773607,0.7324478178368121,3.77988614800759,2.08333718746897,0.41707779886148005,0.3199038265758499,ANALAMANGA
nowcast,2020-03-27,nowcast,0.2778827936129107,1.403759111513849,0.5704855337591244,0.9716376911320989,0.8238243897312083,0.8724941067648505,0.3795932544770631,0.7093333333333334,3.8457142857142856,2.0044267212438167,0.43047619047619046,0.36444594640541095,ANALAMANGA
nowcast,2020-03-28,nowcast,0.21859423137752107,1.427597339964569,0.5378215967042916,0.9678809873447041,0.8251859260774695,0.8863169597577941,0.4042879261904504,0.6868571428571428,3.7866666666666666,2.065111367299496,0.4261333333333333,0.364059541275182,ANALAMANGA
nowcast,2020-03-29,nowcast,0.3080475615577593,1.4925736006784356,0.5786239101031881,1.0020351302803236,0.8366892331404354,0.9036390514791658,0.42694476101744977,0.6813559322033899,3.8380414312617703,2.0200910444764206,0.4057250470809793,0.3125465929300965,ANALAMANGA
nowcast,2020-03-30,nowcast,0.30261657329948927,1.4362284468856148,0.5941720488707477,1.0116956350521675,0.849748435839495,0.9128536360577704,0.3911826114099355,0.6651769087523277,3.9571694599627563,2.0087434149895005,0.4072998137802607,0.3431862427123203,ANALAMANGA
nowcast,2020-03-31,nowcast,0.29647485782958904,1.5272988430037695,0.5120108388551763,0.9704021919833423,0.862849489956871,0.9184593339731011,0.4058469654276146,0.6461824953445066,3.756052141527002,2.0613914310857053,0.3935195530726257,0.28905986172419174,ANALAMANGA
nowcast,2020-04-01,nowcast,0.3677248414232047,1.5250321689507067,0.5782834936059531,1.0085383495142435,0.860402955200625,0.896751860205993,0.38112090762950046,0.6729323308270677,3.851503759398496,2.0215410087368166,0.3701503759398496,0.28163142881430153,ANALAMANGA
nowcast,2020-04-02,nowcast,0.2855933294147616,1.5076413394028794,0.5601679228497548,0.9998225385897184,0.8320085211116331,0.8805395459556531,0.4092066844978933,0.6905730129390019,3.741219963031423,2.0177516536957323,0.36229205175600737,0.3238691005020808,ANALAMANGA
nowcast,2020-04-03,nowcast,0.1743484252424931,1.294476222989402,0.524075288473096,0.9581911026732708,0.7576798634446914,0.8032792175535249,0.3908095571875096,0.7523105360443623,3.8687615526802217,2.03595731077602,0.3130499075785582,0.2717011240991005,ANALAMANGA
nowcast,2020-04-04,nowcast,0.08069937567833119,1.2777226345318937,0.38923785986369414,0.858627340176228,0.7079523346431713,0.7618213968175247,0.40113764642085314,0.7708029197080292,3.739051094890511,2.0111428849911612,0.2570802919708029,0.2305735521601253,ANALAMANGA
nowcast,2020-04-05,nowcast,0.10580107083095615,1.248754393102578,0.40327645374381454,0.8531785890629972,0.669158157948433,0.7267015546569536,0.42849318088729516,0.8123893805309734,3.7327433628318585,2.0383383882204344,0.24382300884955752,0.2600546844761645,ANALAMANGA
nowcast,2020-04-06,nowcast,0.09903921201848988,1.2822373130951923,0.3718542355143065,0.8284875143603776,0.6581283407993445,0.7329403657282291,0.44750889028978436,0.8010344827586207,3.7896551724137932,1.9657019136970866,0.226,0.2318422106182419,ANALAMANGA
nowcast,2020-04-07,nowcast,0.06416308797130978,1.3465798005343703,0.36960403866600533,0.8527055595726205,0.657330246389473,0.743887659246333,0.4844052690121153,0.7853242320819113,3.930034129692833,1.945892979255177,0.1995904436860068,0.21545564834959346,ANALAMANGA
nowcast,2020-04-08,nowcast,0.059527268429959854,1.4706933851047002,0.2927848307583796,0.8104618349963713,0.6855879526116243,0.7923411843966892,0.5475922539212348,0.7509060955518946,3.8550247116968697,2.0335202577007787,0.22036243822075782,0.2771343144622439,ANALAMANGA
