"date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","region","fit"
2020-03-19,"R",NA,"estimate",1.14712019603623,1.1624835118506,0.262579280932364,0.752100076857543,0.993437902201041,1.08882464331878,1.20431277706329,1.30980557580646,1.60052057378592,"Analamanga","EpiNow2-IPM-dat"
2020-03-20,"R",NA,"estimate",1.15061886013981,1.16155390701365,0.235215991669083,0.792964507514022,1.01168488217151,1.09473439026535,1.2027752065596,1.29793855563592,1.56272753578034,"Analamanga","EpiNow2-IPM-dat"
2020-03-21,"R",NA,"estimate",1.15336708190067,1.16146698309923,0.210262180301724,0.831158736881878,1.02524400213807,1.1030821901298,1.20125976443872,1.28635214644705,1.5221781271786,"Analamanga","EpiNow2-IPM-dat"
2020-03-22,"R",NA,"estimate",1.15389721215057,1.16198384761753,0.187820854498022,0.862771012928695,1.03890108301243,1.10972053346693,1.19838499697127,1.27711583719188,1.48937469395096,"Analamanga","EpiNow2-IPM-dat"
2020-03-23,"R",NA,"estimate",1.15596929026346,1.16284681315083,0.168072828869281,0.896638175485043,1.05121241098275,1.11812195770451,1.1964823064906,1.26771597284015,1.45373430591353,"Analamanga","EpiNow2-IPM-dat"
2020-03-24,"R",NA,"estimate",1.15678645714814,1.16379748422784,0.151246933025037,0.924992749577977,1.06321409174677,1.12099525561769,1.19394009327706,1.25598900653925,1.42646557780331,"Analamanga","EpiNow2-IPM-dat"
2020-03-25,"R",NA,"estimate",1.15812577110767,1.16459173424341,0.137527073122602,0.949059404305763,1.07228127283834,1.12444377142238,1.19145494279362,1.24919859675032,1.39690548551916,"Analamanga","EpiNow2-IPM-dat"
2020-03-26,"R",NA,"estimate",1.16039427041107,1.16501211521122,0.12691884205774,0.968003048168213,1.07994634001293,1.12990423097242,1.18871253187948,1.24416256159123,1.38180530075318,"Analamanga","EpiNow2-IPM-dat"
2020-03-27,"R",NA,"estimate",1.16027584762127,1.16487878449543,0.119163047177768,0.979532323699984,1.08637869187121,1.13181631872522,1.18574937225652,1.23864719251246,1.37005414328886,"Analamanga","EpiNow2-IPM-dat"
2020-03-28,"R",NA,"estimate",1.15854040721528,1.16405818165366,0.11376495453426,0.986680635816057,1.09079139750925,1.13173668014933,1.18579394363502,1.23314842995815,1.35908283477749,"Analamanga","EpiNow2-IPM-dat"
2020-03-29,"R",NA,"estimate",1.15644355090809,1.16246706497307,0.110115641693175,0.988530429417594,1.09168842006929,1.1304964187578,1.18281441463208,1.23008708265973,1.34980293301877,"Analamanga","EpiNow2-IPM-dat"
2020-03-30,"R",NA,"estimate",1.15416594807983,1.16007017479046,0.107623977549979,0.992113549677306,1.08942825793579,1.12932878084423,1.18010511579986,1.22709407346546,1.34497733216308,"Analamanga","EpiNow2-IPM-dat"
2020-03-31,"R",NA,"estimate",1.15149185080058,1.15687237865955,0.105801910518024,0.992493318095439,1.0875702995013,1.12755732694294,1.17763500988882,1.22160071789133,1.33713281544928,"Analamanga","EpiNow2-IPM-dat"
2020-04-01,"R",NA,"estimate",1.14819064981378,1.15290883695805,0.104297825665373,0.991597490819713,1.08680012404364,1.12493753299908,1.17324189335549,1.21526682431514,1.32970313031946,"Analamanga","EpiNow2-IPM-dat"
2020-04-02,"R",NA,"estimate",1.14536782566985,1.14823780849819,0.102900971337598,0.986574869550747,1.08129424763491,1.12096201509675,1.16869331171733,1.21124196828024,1.32102691445763,"Analamanga","EpiNow2-IPM-dat"
2020-04-03,"R",NA,"estimate",1.14218634304116,1.14293950186768,0.101540323145547,0.98230234884909,1.07448214741026,1.11766422419152,1.16332053077328,1.2053270648835,1.31099688256267,"Analamanga","EpiNow2-IPM-dat"
2020-04-04,"R",NA,"estimate",1.13820308366055,1.1371213761939,0.100285696443635,0.978369937436006,1.0703902301226,1.11424759580123,1.15799698260955,1.19822206648235,1.30005321577871,"Analamanga","EpiNow2-IPM-dat"
2020-04-05,"R",NA,"estimate",1.13132048590748,1.1309269723586,0.0993361911012852,0.97211235256501,1.06558484508162,1.10806583831507,1.15260198570398,1.19294180088513,1.29070909962933,"Analamanga","EpiNow2-IPM-dat"
2020-04-06,"R",NA,"estimate",1.12543382928303,1.12454345942646,0.098966402302396,0.963899181892133,1.05953670846288,1.10160018027613,1.14682589847885,1.18676100797568,1.28408535069074,"Analamanga","EpiNow2-IPM-dat"
2020-04-07,"R",NA,"estimate",1.11933709047735,1.11820361196221,0.0994182051654615,0.952242087949659,1.05516800474789,1.09669096272504,1.14263676350284,1.18075202133656,1.27911162053538,"Analamanga","EpiNow2-IPM-dat"
2020-04-08,"R",NA,"estimate",1.11556330316262,1.11218036979311,0.100773697865991,0.940030516967336,1.05009853778696,1.09070977168502,1.13845731269144,1.17438559044871,1.27408615443141,"Analamanga","EpiNow2-IPM-dat"
2020-04-09,"R",NA,"estimate",1.11012106077484,1.10677477642364,0.102874794949036,0.932145792558901,1.04206894269053,1.08591806711778,1.13341784360788,1.17041509636116,1.27422711894983,"Analamanga","EpiNow2-IPM-dat"
2020-04-10,"R",NA,"estimate",1.10732405102366,1.10229943377259,0.105331418881456,0.921940714357422,1.03647697692383,1.08093732984203,1.12979366580907,1.16831968876351,1.271093728315,"Analamanga","EpiNow2-IPM-dat"
2020-04-11,"R",NA,"estimate",1.1047843147576,1.09905926318349,0.107611965822856,0.915039262124217,1.03280104916545,1.07828424082473,1.12856069704795,1.16727724458116,1.27169284435144,"Analamanga","EpiNow2-IPM-dat"
2020-04-12,"R",NA,"estimate",1.10275404583699,1.09732990796745,0.109176856438559,0.908229082403987,1.03134496937003,1.07578614382583,1.1273803624794,1.16546320276167,1.27199526815993,"Analamanga","EpiNow2-IPM-dat"
2020-04-13,"R",NA,"estimate",1.10193137901789,1.09733264996063,0.109609165349559,0.90357287810622,1.03208002030179,1.07684552043491,1.12680540573011,1.16701538390472,1.27203889793963,"Analamanga","EpiNow2-IPM-dat"
2020-04-14,"R",NA,"estimate",1.10481662675467,1.09920438218314,0.108715540555539,0.907312032985363,1.03527137518197,1.08039486630929,1.12839155525871,1.16767646807719,1.27117695087406,"Analamanga","EpiNow2-IPM-dat"
