"date","confirm","region","source"
2020-03-19,2,"Analamanga","IPM-data"
2020-03-20,13,"Analamanga","IPM-data"
2020-03-21,0,"Analamanga","IPM-data"
2020-03-22,2,"Analamanga","IPM-data"
2020-03-23,0,"Analamanga","IPM-data"
2020-03-24,4,"Analamanga","IPM-data"
2020-03-25,3,"Analamanga","IPM-data"
2020-03-26,10,"Analamanga","IPM-data"
2020-03-27,0,"Analamanga","IPM-data"
2020-03-28,3,"Analamanga","IPM-data"
2020-03-29,0,"Analamanga","IPM-data"
2020-03-30,1,"Analamanga","IPM-data"
2020-03-31,3,"Analamanga","IPM-data"
2020-04-01,3,"Analamanga","IPM-data"
2020-04-02,0,"Analamanga","IPM-data"
2020-04-03,0,"Analamanga","IPM-data"
2020-04-04,7,"Analamanga","IPM-data"
2020-04-05,3,"Analamanga","IPM-data"
2020-04-06,2,"Analamanga","IPM-data"
2020-04-07,1,"Analamanga","IPM-data"
2020-04-08,1,"Analamanga","IPM-data"
2020-04-09,2,"Analamanga","IPM-data"
2020-04-10,0,"Analamanga","IPM-data"
2020-04-11,1,"Analamanga","IPM-data"
2020-04-12,2,"Analamanga","IPM-data"
2020-04-13,3,"Analamanga","IPM-data"
2020-04-14,2,"Analamanga","IPM-data"
2020-04-15,2,"Analamanga","IPM-data"
2020-04-16,1,"Analamanga","IPM-data"
2020-04-17,1,"Analamanga","IPM-data"
2020-04-18,0,"Analamanga","IPM-data"
2020-04-19,0,"Analamanga","IPM-data"
2020-04-20,0,"Analamanga","IPM-data"
2020-04-21,0,"Analamanga","IPM-data"
2020-04-22,1,"Analamanga","IPM-data"
2020-04-23,0,"Analamanga","IPM-data"
2020-04-24,3,"Analamanga","IPM-data"
2020-04-25,0,"Analamanga","IPM-data"
2020-04-26,0,"Analamanga","IPM-data"
2020-04-27,0,"Analamanga","IPM-data"
2020-04-28,0,"Analamanga","IPM-data"
2020-04-29,2,"Analamanga","IPM-data"
2020-04-30,0,"Analamanga","IPM-data"
2020-05-01,6,"Analamanga","IPM-data"
2020-05-02,5,"Analamanga","IPM-data"
2020-05-03,19,"Analamanga","IPM-data"
2020-05-04,29,"Analamanga","IPM-data"
2020-05-05,1,"Analamanga","IPM-data"
2020-05-06,1,"Analamanga","IPM-data"
2020-05-07,3,"Analamanga","IPM-data"
2020-05-08,0,"Analamanga","IPM-data"
2020-05-09,2,"Analamanga","IPM-data"
2020-05-10,0,"Analamanga","IPM-data"
2020-05-11,0,"Analamanga","IPM-data"
2020-05-12,1,"Analamanga","IPM-data"
2020-05-13,1,"Analamanga","IPM-data"
2020-05-14,3,"Analamanga","IPM-data"
2020-05-15,1,"Analamanga","IPM-data"
2020-05-16,0,"Analamanga","IPM-data"
2020-05-17,1,"Analamanga","IPM-data"
2020-05-18,0,"Analamanga","IPM-data"
2020-05-19,0,"Analamanga","IPM-data"
2020-05-20,0,"Analamanga","IPM-data"
2020-05-21,1,"Analamanga","IPM-data"
2020-05-22,6,"Analamanga","IPM-data"
2020-05-23,2,"Analamanga","IPM-data"
2020-05-24,1,"Analamanga","IPM-data"
2020-05-25,2,"Analamanga","IPM-data"
2020-05-26,16,"Analamanga","IPM-data"
2020-05-27,7,"Analamanga","IPM-data"
2020-05-28,1,"Analamanga","IPM-data"
2020-05-29,0,"Analamanga","IPM-data"
2020-05-30,11,"Analamanga","IPM-data"
2020-05-31,4,"Analamanga","IPM-data"
2020-06-01,4,"Analamanga","IPM-data"
2020-06-02,5,"Analamanga","IPM-data"
2020-06-03,7,"Analamanga","IPM-data"
2020-06-04,4,"Analamanga","IPM-data"
2020-06-05,0,"Analamanga","IPM-data"
2020-06-06,0,"Analamanga","IPM-data"
2020-06-07,0,"Analamanga","IPM-data"
2020-06-08,4,"Analamanga","IPM-data"
2020-06-09,22,"Analamanga","IPM-data"
2020-06-10,16,"Analamanga","IPM-data"
2020-06-11,2,"Analamanga","IPM-data"
2020-06-12,0,"Analamanga","IPM-data"
2020-06-13,9,"Analamanga","IPM-data"
2020-06-14,2,"Analamanga","IPM-data"
2020-06-15,50,"Analamanga","IPM-data"
2020-06-16,26,"Analamanga","IPM-data"
2020-06-17,20,"Analamanga","IPM-data"
2020-06-18,3,"Analamanga","IPM-data"
2020-06-19,6,"Analamanga","IPM-data"
2020-06-20,17,"Analamanga","IPM-data"
2020-06-21,2,"Analamanga","IPM-data"
2020-06-22,17,"Analamanga","IPM-data"
2020-06-23,3,"Analamanga","IPM-data"
2020-06-24,16,"Analamanga","IPM-data"
2020-06-25,22,"Analamanga","IPM-data"
2020-06-26,88,"Analamanga","IPM-data"
2020-06-27,120,"Analamanga","IPM-data"
2020-06-28,72,"Analamanga","IPM-data"
2020-06-29,83,"Analamanga","IPM-data"
2020-06-30,131,"Analamanga","IPM-data"
2020-07-01,41,"Analamanga","IPM-data"
2020-07-02,6,"Analamanga","IPM-data"
2020-07-03,92,"Analamanga","IPM-data"
2020-07-04,105,"Analamanga","IPM-data"
2020-07-05,56,"Analamanga","IPM-data"
2020-07-06,58,"Analamanga","IPM-data"
2020-07-07,174,"Analamanga","IPM-data"
2020-07-08,156,"Analamanga","IPM-data"
2020-07-09,55,"Analamanga","IPM-data"
2020-07-10,80,"Analamanga","IPM-data"
2020-07-11,23,"Analamanga","IPM-data"
2020-07-12,19,"Analamanga","IPM-data"
2020-07-13,28,"Analamanga","IPM-data"
2020-07-14,94,"Analamanga","IPM-data"
2020-07-15,47,"Analamanga","IPM-data"
2020-07-16,10,"Analamanga","IPM-data"
2020-07-17,56,"Analamanga","IPM-data"
2020-07-18,42,"Analamanga","IPM-data"
2020-07-19,27,"Analamanga","IPM-data"
2020-07-20,67,"Analamanga","IPM-data"
2020-07-21,23,"Analamanga","IPM-data"
2020-07-22,57,"Analamanga","IPM-data"
2020-07-23,41,"Analamanga","IPM-data"
2020-07-24,35,"Analamanga","IPM-data"
2020-07-25,35,"Analamanga","IPM-data"
2020-07-26,10,"Analamanga","IPM-data"
2020-07-27,31,"Analamanga","IPM-data"
2020-07-28,46,"Analamanga","IPM-data"
2020-07-29,30,"Analamanga","IPM-data"
2020-07-30,31,"Analamanga","IPM-data"
2020-07-31,25,"Analamanga","IPM-data"
2020-08-01,26,"Analamanga","IPM-data"
2020-08-02,31,"Analamanga","IPM-data"
2020-08-03,53,"Analamanga","IPM-data"
2020-08-04,23,"Analamanga","IPM-data"
2020-08-05,34,"Analamanga","IPM-data"
2020-08-06,41,"Analamanga","IPM-data"
2020-08-07,49,"Analamanga","IPM-data"
2020-08-08,22,"Analamanga","IPM-data"
2020-08-09,7,"Analamanga","IPM-data"
2020-08-10,26,"Analamanga","IPM-data"
2020-08-11,40,"Analamanga","IPM-data"
2020-08-12,33,"Analamanga","IPM-data"
2020-08-13,22,"Analamanga","IPM-data"
2020-08-14,20,"Analamanga","IPM-data"
2020-08-15,19,"Analamanga","IPM-data"
2020-08-16,12,"Analamanga","IPM-data"
2020-08-17,44,"Analamanga","IPM-data"
2020-08-18,35,"Analamanga","IPM-data"
2020-08-19,16,"Analamanga","IPM-data"
2020-08-20,28,"Analamanga","IPM-data"
2020-08-21,31,"Analamanga","IPM-data"
2020-08-22,7,"Analamanga","IPM-data"
2020-08-23,8,"Analamanga","IPM-data"
2020-08-24,17,"Analamanga","IPM-data"
2020-08-25,1,"Analamanga","IPM-data"
2020-08-26,38,"Analamanga","IPM-data"
2020-08-27,19,"Analamanga","IPM-data"
2020-08-28,21,"Analamanga","IPM-data"
2020-08-29,17,"Analamanga","IPM-data"
2020-08-30,7,"Analamanga","IPM-data"
2020-08-31,13,"Analamanga","IPM-data"
2020-09-01,23,"Analamanga","IPM-data"
2020-09-02,5,"Analamanga","IPM-data"
2020-09-03,8,"Analamanga","IPM-data"
2020-09-04,10,"Analamanga","IPM-data"
2020-09-05,8,"Analamanga","IPM-data"
2020-09-06,4,"Analamanga","IPM-data"
2020-09-07,19,"Analamanga","IPM-data"
2020-09-08,8,"Analamanga","IPM-data"
2020-09-09,9,"Analamanga","IPM-data"
2020-09-10,6,"Analamanga","IPM-data"
2020-09-11,4,"Analamanga","IPM-data"
2020-09-12,4,"Analamanga","IPM-data"
2020-09-13,9,"Analamanga","IPM-data"
2020-09-14,6,"Analamanga","IPM-data"
2020-09-15,6,"Analamanga","IPM-data"
2020-09-16,3,"Analamanga","IPM-data"
2020-09-17,7,"Analamanga","IPM-data"
2020-09-18,4,"Analamanga","IPM-data"
2020-09-19,4,"Analamanga","IPM-data"
2020-09-20,3,"Analamanga","IPM-data"
2020-09-21,9,"Analamanga","IPM-data"
2020-09-22,3,"Analamanga","IPM-data"
2020-09-23,8,"Analamanga","IPM-data"
