"region","fit","variable","date","type","bottom","top","lower","upper","median","mean"
"Analamanga","EpiNow2-Reported","R","2020-03-20","nowcast",0.508705144538949,1.76578551432029,0.813378974023873,1.30412192595877,1.11969812670443,1.15002693456683
"Analamanga","EpiNow2-Reported","R","2020-03-21","nowcast",0.48856644603535,1.70396288851348,0.83897418969162,1.28681053609322,1.05957597712826,1.08880256873719
"Analamanga","EpiNow2-Reported","R","2020-03-22","nowcast",0.429888336807745,1.58853745640409,0.782365918966658,1.19501808838671,1.00729359291315,1.03669703404563
"Analamanga","EpiNow2-Reported","R","2020-03-23","nowcast",0.359384571064737,1.45918395099778,0.72138831196935,1.14780917533839,0.94763105465241,0.958525545589827
"Analamanga","EpiNow2-Reported","R","2020-03-24","nowcast",0.326575173040783,1.35779646387336,0.648407438802057,1.05760677080642,0.864519890553698,0.87226157845851
"Analamanga","EpiNow2-Reported","R","2020-03-25","nowcast",0.279687830481644,1.30317425392256,0.609163514171729,0.997526814253345,0.823313824010423,0.842808805957085
"Analamanga","EpiNow2-Reported","R","2020-03-26","nowcast",0.282543454201903,1.33334607185336,0.53170089027112,0.934312070973575,0.788144183063395,0.826438900770413
"Analamanga","EpiNow2-Reported","R","2020-03-27","nowcast",0.277882793612911,1.40375911151385,0.570485533759124,0.971637691132099,0.823824389731208,0.872494106764851
"Analamanga","EpiNow2-Reported","R","2020-03-28","nowcast",0.218594231377521,1.42759733996457,0.537821596704292,0.967880987344704,0.82518592607747,0.886316959757794
"Analamanga","EpiNow2-Reported","R","2020-03-29","nowcast",0.308047561557759,1.49257360067844,0.578623910103188,1.00203513028032,0.836689233140435,0.903639051479166
"Analamanga","EpiNow2-Reported","R","2020-03-30","nowcast",0.302616573299489,1.43622844688561,0.594172048870748,1.01169563505217,0.849748435839495,0.91285363605777
"Analamanga","EpiNow2-Reported","R","2020-03-31","nowcast",0.296474857829589,1.52729884300377,0.512010838855176,0.970402191983342,0.862849489956871,0.918459333973101
"Analamanga","EpiNow2-Reported","R","2020-04-01","nowcast",0.367724841423205,1.52503216895071,0.578283493605953,1.00853834951424,0.860402955200625,0.896751860205993
"Analamanga","EpiNow2-Reported","R","2020-04-02","nowcast",0.285593329414762,1.50764133940288,0.560167922849755,0.999822538589718,0.832008521111633,0.880539545955653
"Analamanga","EpiNow2-Reported","R","2020-04-03","nowcast",0.174348425242493,1.2944762229894,0.524075288473096,0.958191102673271,0.757679863444691,0.803279217553525
"Analamanga","EpiNow2-Reported","R","2020-04-04","nowcast",0.0806993756783312,1.27772263453189,0.389237859863694,0.858627340176228,0.707952334643171,0.761821396817525
"Analamanga","EpiNow2-Reported","R","2020-04-05","nowcast",0.105801070830956,1.24875439310258,0.403276453743815,0.853178589062997,0.669158157948433,0.726701554656954
"Analamanga","EpiNow2-Reported","R","2020-04-06","nowcast",0.0990392120184899,1.28223731309519,0.371854235514307,0.828487514360378,0.658128340799344,0.732940365728229
"Analamanga","EpiNow2-Reported","R","2020-04-07","nowcast",0.0641630879713098,1.34657980053437,0.369604038666005,0.852705559572621,0.657330246389473,0.743887659246333
"Analamanga","EpiNow2-Reported","R","2020-04-08","nowcast",0.0595272684299599,1.4706933851047,0.29278483075838,0.810461834996371,0.685587952611624,0.792341184396689
"Analamanga","EpiNow2-Reported","R","2020-04-09","nowcast",0.0497322415652462,1.52835556561317,0.380432301004229,0.907486900563539,0.733619229785665,0.853567626279592
"Analamanga","EpiNow2-Reported","R","2020-04-10","nowcast",0.0616466204865181,1.64162966305785,0.408813813676031,0.976228339748733,0.758857010902746,0.899277960326772
