date,confirm,region
5/16/20,0,Analamanga
5/17/20,1,Analamanga
5/18/20,0,Analamanga
5/19/20,0,Analamanga
5/20/20,0,Analamanga
5/21/20,1,Analamanga
5/22/20,6,Analamanga
5/23/20,2,Analamanga
5/24/20,1,Analamanga
5/25/20,2,Analamanga
5/26/20,16,Analamanga
5/27/20,7,Analamanga
5/28/20,1,Analamanga
5/29/20,0,Analamanga
5/30/20,11,Analamanga
5/31/20,4,Analamanga
6/1/20,4,Analamanga
6/2/20,5,Analamanga
6/3/20,7,Analamanga
6/4/20,4,Analamanga
6/5/20,0,Analamanga
6/6/20,0,Analamanga
6/7/20,0,Analamanga
6/8/20,4,Analamanga
6/9/20,22,Analamanga
6/10/20,16,Analamanga
6/11/20,2,Analamanga
6/12/20,0,Analamanga
6/13/20,9,Analamanga
6/14/20,2,Analamanga
6/15/20,50,Analamanga
6/16/20,26,Analamanga
6/17/20,20,Analamanga
6/18/20,3,Analamanga
6/19/20,6,Analamanga
6/20/20,17,Analamanga
6/21/20,2,Analamanga
6/22/20,17,Analamanga
6/23/20,3,Analamanga
6/24/20,16,Analamanga
6/25/20,22,Analamanga
6/26/20,88,Analamanga
6/27/20,120,Analamanga
6/28/20,72,Analamanga
6/29/20,83,Analamanga
6/30/20,131,Analamanga
7/1/20,41,Analamanga
7/2/20,6,Analamanga
7/3/20,92,Analamanga
7/4/20,105,Analamanga
7/5/20,56,Analamanga
7/6/20,58,Analamanga
7/7/20,174,Analamanga
7/8/20,156,Analamanga
7/9/20,55,Analamanga
7/10/20,80,Analamanga
7/11/20,23,Analamanga
7/12/20,19,Analamanga
7/13/20,28,Analamanga
7/14/20,94,Analamanga
7/15/20,47,Analamanga
7/16/20,10,Analamanga
7/17/20,56,Analamanga
7/18/20,42,Analamanga
7/19/20,27,Analamanga
7/20/20,67,Analamanga
7/21/20,23,Analamanga
7/22/20,57,Analamanga
7/23/20,41,Analamanga
7/24/20,35,Analamanga
7/25/20,35,Analamanga
7/26/20,10,Analamanga
7/27/20,31,Analamanga
7/28/20,46,Analamanga
7/29/20,30,Analamanga
7/30/20,31,Analamanga
7/31/20,25,Analamanga
8/1/20,26,Analamanga
8/2/20,31,Analamanga
8/3/20,53,Analamanga
8/4/20,23,Analamanga
8/5/20,34,Analamanga
8/6/20,41,Analamanga
8/7/20,49,Analamanga
8/8/20,22,Analamanga
8/9/20,7,Analamanga
8/10/20,26,Analamanga
8/11/20,40,Analamanga
8/12/20,33,Analamanga
8/13/20,22,Analamanga
8/14/20,20,Analamanga
8/15/20,19,Analamanga
8/16/20,12,Analamanga
8/17/20,44,Analamanga
8/18/20,35,Analamanga
8/19/20,16,Analamanga
8/20/20,28,Analamanga
8/21/20,31,Analamanga
8/22/20,7,Analamanga
8/23/20,8,Analamanga
8/24/20,17,Analamanga
8/25/20,1,Analamanga
8/26/20,38,Analamanga
8/27/20,19,Analamanga
8/28/20,21,Analamanga
8/29/20,17,Analamanga
8/30/20,7,Analamanga
8/31/20,13,Analamanga
9/1/20,23,Analamanga
9/2/20,5,Analamanga
9/3/20,8,Analamanga
9/4/20,10,Analamanga
9/5/20,8,Analamanga
9/6/20,4,Analamanga
9/7/20,19,Analamanga
9/8/20,8,Analamanga
9/9/20,9,Analamanga
9/10/20,6,Analamanga
9/11/20,4,Analamanga
9/12/20,4,Analamanga
9/13/20,9,Analamanga
9/14/20,6,Analamanga
9/15/20,6,Analamanga
9/16/20,3,Analamanga
9/17/20,7,Analamanga
9/18/20,4,Analamanga
9/19/20,4,Analamanga
9/20/20,3,Analamanga
9/21/20,9,Analamanga
9/22/20,3,Analamanga
9/23/20,8,Analamanga
9/24/20,6,Analamanga
9/25/20,5,Analamanga
9/26/20,2,Analamanga
9/27/20,1,Analamanga
9/28/20,3,Analamanga
9/29/20,4,Analamanga
9/30/20,1,Analamanga
10/1/20,0,Analamanga
10/2/20,0,Analamanga
10/3/20,0,Analamanga
10/4/20,0,Analamanga
10/5/20,0,Analamanga
10/6/20,0,Analamanga
10/7/20,0,Analamanga
3/18/20,1,National
3/19/20,2,National
3/20/20,13,National
3/21/20,0,National
3/22/20,2,National
3/23/20,0,National
3/24/20,5,National
3/25/20,5,National
3/26/20,14,National
3/27/20,3,National
3/28/20,3,National
3/29/20,1,National
3/30/20,2,National
3/31/20,7,National
4/1/20,5,National
4/2/20,0,National
4/3/20,5,National
4/4/20,9,National
4/5/20,4,National
4/6/20,6,National
4/7/20,2,National
4/8/20,4,National
4/9/20,2,National
4/10/20,1,National
4/11/20,1,National
4/12/20,4,National
4/13/20,3,National
4/14/20,4,National
4/15/20,2,National
4/16/20,2,National
4/17/20,1,National
4/18/20,0,National
4/19/20,0,National
4/20/20,0,National
4/21/20,0,National
4/22/20,1,National
4/23/20,2,National
4/24/20,4,National
4/25/20,0,National
4/26/20,0,National
4/27/20,0,National
4/28/20,3,National
4/29/20,2,National
4/30/20,8,National
5/1/20,8,National
5/2/20,9,National
5/3/20,19,National
5/4/20,47,National
5/5/20,5,National
5/6/20,71,National
5/7/20,23,National
5/8/20,12,National
5/9/20,12,National
5/10/20,9,National
5/11/20,26,National
5/12/20,13,National
5/13/20,24,National
5/14/20,31,National
5/15/20,47,National
5/16/20,20,National
5/17/20,5,National
5/18/20,23,National
5/19/20,17,National
5/20/20,26,National
5/21/20,10,National
5/22/20,17,National
5/23/20,6,National
5/24/20,16,National
5/25/20,21,National
5/26/20,45,National
5/27/20,42,National
5/28/20,17,National
5/29/20,36,National
5/30/20,37,National
5/31/20,14,National
6/1/20,31,National
6/2/20,71,National
6/3/20,30,National
6/4/20,31,National
6/5/20,6,National
6/6/20,12,National
6/7/20,3,National
6/8/20,20,National
6/9/20,27,National
6/10/20,27,National
6/11/20,13,National
6/12/20,10,National
6/13/20,16,National
6/14/20,5,National
6/15/20,67,National
6/16/20,30,National
6/17/20,23,National
6/18/20,9,National
6/19/20,13,National
6/20/20,31,National
6/21/20,3,National
6/22/20,30,National
6/23/20,9,National
6/24/20,29,National
6/25/20,31,National
6/26/20,89,National
6/27/20,120,National
6/28/20,83,National
6/29/20,91,National
6/30/20,135,National
7/1/20,46,National
7/2/20,8,National
7/3/20,95,National
7/4/20,108,National
7/5/20,69,National
7/6/20,74,National
7/7/20,184,National
7/8/20,172,National
7/9/20,64,National
7/10/20,98,National
7/11/20,28,National
7/12/20,19,National
7/13/20,42,National
7/14/20,101,National
7/15/20,55,National
7/16/20,15,National
7/17/20,88,National
7/18/20,74,National
7/19/20,33,National
7/20/20,96,National
7/21/20,38,National
7/22/20,69,National
7/23/20,51,National
7/24/20,42,National
7/25/20,36,National
7/26/20,11,National
7/27/20,50,National
7/28/20,58,National
7/29/20,41,National
7/30/20,43,National
7/31/20,29,National
8/1/20,29,National
8/2/20,32,National
8/3/20,89,National
8/4/20,27,National
8/5/20,35,National
8/6/20,62,National
8/7/20,72,National
8/8/20,28,National
8/9/20,7,National
8/10/20,46,National
8/11/20,71,National
8/12/20,40,National
8/13/20,55,National
8/14/20,22,National
8/15/20,23,National
8/16/20,12,National
8/17/20,52,National
8/18/20,44,National
8/19/20,55,National
8/20/20,35,National
8/21/20,36,National
8/22/20,8,National
8/23/20,8,National
8/24/20,35,National
8/25/20,3,National
8/26/20,43,National
8/27/20,27,National
8/28/20,32,National
8/29/20,28,National
8/30/20,8,National
8/31/20,30,National
9/1/20,25,National
9/2/20,7,National
9/3/20,25,National
9/4/20,12,National
9/5/20,22,National
9/6/20,4,National
9/7/20,29,National
9/8/20,8,National
9/9/20,11,National
9/10/20,6,National
9/11/20,10,National
9/12/20,10,National
9/13/20,20,National
9/14/20,7,National
9/15/20,7,National
9/16/20,4,National
9/17/20,11,National
9/18/20,9,National
9/19/20,5,National
9/20/20,7,National
9/21/20,9,National
9/22/20,4,National
9/23/20,14,National
