"machine","test","target","dilution","run","isolate","replicate","Ct","run.isolate.replicate","isolate.replicate","flag"
"QuantStudio5","Berlin Charity","E",0.01,"1","3","1",18.033,"1-3-1","3-1",1
"QuantStudio5","Berlin Charity","E",0.001,"1","3","1",21.334,"1-3-1","3-1",1
"QuantStudio5","Berlin Charity","E",1e-04,"1","3","1",24.532,"1-3-1","3-1",1
"QuantStudio5","Berlin Charity","E",1e-05,"1","3","1",28.074,"1-3-1","3-1",1
"QuantStudio5","Berlin Charity","E",1e-06,"1","3","1",31.084,"1-3-1","3-1",1
"QuantStudio5","Berlin Charity","E",1e-07,"1","3","1",33.139,"1-3-1","3-1",1
"QuantStudio5","Berlin Charity","E",1e-08,"1","3","1",35.935,"1-3-1","3-1",1
"QuantStudio5","Berlin Charity","E",1,"1","3","2",12.25882435,"1-3-2","3-2",1
"QuantStudio5","Berlin Charity","E",0.1,"1","3","2",14.99051857,"1-3-2","3-2",1
"QuantStudio5","Berlin Charity","E",0.01,"1","3","2",18.06631279,"1-3-2","3-2",1
"QuantStudio5","Berlin Charity","E",0.001,"1","3","2",21.36634445,"1-3-2","3-2",1
"QuantStudio5","Berlin Charity","E",1e-04,"1","3","2",24.45700073,"1-3-2","3-2",1
"QuantStudio5","Berlin Charity","E",1e-05,"1","3","2",27.93615913,"1-3-2","3-2",1
"QuantStudio5","Berlin Charity","E",1e-06,"1","3","2",30.9934082,"1-3-2","3-2",1
"QuantStudio5","Berlin Charity","E",1e-07,"1","3","2",34.07465363,"1-3-2","3-2",1
"QuantStudio5","Berlin Charity","E",1e-08,"1","3","2",39.76631165,"1-3-2","3-2",1
"QuantStudio5","Berlin Charity","E",1,"1","3","3",12.3357954,"1-3-3","3-3",1
"QuantStudio5","Berlin Charity","E",0.1,"1","3","3",15.74686527,"1-3-3","3-3",1
"QuantStudio5","Berlin Charity","E",0.01,"1","3","3",18.98909569,"1-3-3","3-3",1
"QuantStudio5","Berlin Charity","E",0.001,"1","3","3",22.18153954,"1-3-3","3-3",1
"QuantStudio5","Berlin Charity","E",1e-04,"1","3","3",25.50047112,"1-3-3","3-3",1
"QuantStudio5","Berlin Charity","E",1e-05,"1","3","3",29.63089371,"1-3-3","3-3",1
"QuantStudio5","Berlin Charity","E",1e-06,"1","3","3",31.19418716,"1-3-3","3-3",1
"QuantStudio5","Berlin Charity","E",1e-07,"1","3","3",34.56927109,"1-3-3","3-3",1
"QuantStudio5","Berlin Charity","E",1e-08,"1","3","3",36.34313583,"1-3-3","3-3",1
"QuantStudio5","TaqPath","N",1,"1","1","1",12.816,"1-1-1","1-1",1
"QuantStudio5","TaqPath","N",0.1,"1","1","1",15.741,"1-1-1","1-1",1
"QuantStudio5","TaqPath","N",0.01,"1","1","1",18.919,"1-1-1","1-1",1
"QuantStudio5","TaqPath","N",0.001,"1","1","1",21.965,"1-1-1","1-1",1
"QuantStudio5","TaqPath","N",1e-04,"1","1","1",24.962,"1-1-1","1-1",1
"QuantStudio5","TaqPath","N",1e-05,"1","1","1",27.737,"1-1-1","1-1",1
"QuantStudio5","TaqPath","N",1e-06,"1","1","1",31.849,"1-1-1","1-1",1
"QuantStudio5","TaqPath","N",1e-07,"1","1","1",34.111,"1-1-1","1-1",1
"QuantStudio5","TaqPath","N",1e-08,"1","1","1",37.304,"1-1-1","1-1",1
"QuantStudio5","TaqPath","ORF1ab",1,"1","1","1",11.418,"1-1-1","1-1",1
"QuantStudio5","TaqPath","ORF1ab",0.1,"1","1","1",14.59,"1-1-1","1-1",1
"QuantStudio5","TaqPath","ORF1ab",0.01,"1","1","1",17.877,"1-1-1","1-1",1
"QuantStudio5","TaqPath","ORF1ab",0.001,"1","1","1",20.878,"1-1-1","1-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-04,"1","1","1",24.097,"1-1-1","1-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-05,"1","1","1",26.788,"1-1-1","1-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-06,"1","1","1",30.907,"1-1-1","1-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-07,"1","1","1",33.005,"1-1-1","1-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-08,"1","1","1",39.72,"1-1-1","1-1",1
"QuantStudio5","TaqPath","S",1,"1","1","1",12.153,"1-1-1","1-1",1
"QuantStudio5","TaqPath","S",0.1,"1","1","1",14.878,"1-1-1","1-1",1
"QuantStudio5","TaqPath","S",0.01,"1","1","1",17.965,"1-1-1","1-1",1
"QuantStudio5","TaqPath","S",0.001,"1","1","1",21.146,"1-1-1","1-1",1
"QuantStudio5","TaqPath","S",1e-04,"1","1","1",24.063,"1-1-1","1-1",1
"QuantStudio5","TaqPath","S",1e-05,"1","1","1",26.976,"1-1-1","1-1",1
"QuantStudio5","TaqPath","S",1e-06,"1","1","1",30.976,"1-1-1","1-1",1
"QuantStudio5","TaqPath","S",1e-07,"1","1","1",33.809,"1-1-1","1-1",1
"QuantStudio5","TaqPath","S",1e-08,"1","1","1",NA,"1-1-1","1-1",1
"QuantStudio5","TaqPath","N",1,"1","2","1",13.478,"1-2-1","2-1",1
"QuantStudio5","TaqPath","N",0.1,"1","2","1",15.686,"1-2-1","2-1",1
"QuantStudio5","TaqPath","N",0.01,"1","2","1",18.962,"1-2-1","2-1",1
"QuantStudio5","TaqPath","N",0.001,"1","2","1",22.316,"1-2-1","2-1",1
"QuantStudio5","TaqPath","N",1e-04,"1","2","1",24.575,"1-2-1","2-1",1
"QuantStudio5","TaqPath","N",1e-05,"1","2","1",28.41,"1-2-1","2-1",1
"QuantStudio5","TaqPath","N",1e-06,"1","2","1",32.106,"1-2-1","2-1",1
"QuantStudio5","TaqPath","N",1e-07,"1","2","1",35.337,"1-2-1","2-1",1
"QuantStudio5","TaqPath","N",1e-08,"1","2","1",NA,"1-2-1","2-1",1
"QuantStudio5","TaqPath","ORF1ab",1,"1","2","1",11.453,"1-2-1","2-1",1
"QuantStudio5","TaqPath","ORF1ab",0.1,"1","2","1",14.494,"1-2-1","2-1",1
"QuantStudio5","TaqPath","ORF1ab",0.01,"1","2","1",17.783,"1-2-1","2-1",1
"QuantStudio5","TaqPath","ORF1ab",0.001,"1","2","1",21.14,"1-2-1","2-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-04,"1","2","1",23.408,"1-2-1","2-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-05,"1","2","1",27.564,"1-2-1","2-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-06,"1","2","1",31.172,"1-2-1","2-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-07,"1","2","1",33.882,"1-2-1","2-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-08,"1","2","1",37.264,"1-2-1","2-1",1
"QuantStudio5","TaqPath","S",1,"1","2","1",12,"1-2-1","2-1",1
"QuantStudio5","TaqPath","S",0.1,"1","2","1",14.556,"1-2-1","2-1",1
"QuantStudio5","TaqPath","S",0.01,"1","2","1",17.718,"1-2-1","2-1",1
"QuantStudio5","TaqPath","S",0.001,"1","2","1",21.086,"1-2-1","2-1",1
"QuantStudio5","TaqPath","S",1e-04,"1","2","1",23.316,"1-2-1","2-1",1
"QuantStudio5","TaqPath","S",1e-05,"1","2","1",27.381,"1-2-1","2-1",1
"QuantStudio5","TaqPath","S",1e-06,"1","2","1",31.028,"1-2-1","2-1",1
"QuantStudio5","TaqPath","S",1e-07,"1","2","1",33.935,"1-2-1","2-1",1
"QuantStudio5","TaqPath","S",1e-08,"1","2","1",NA,"1-2-1","2-1",1
"QuantStudio5","TaqPath","N",1,"1","3","1",13.733,"1-3-1","3-1",1
"QuantStudio5","TaqPath","N",0.1,"1","3","1",16.829,"1-3-1","3-1",1
"QuantStudio5","TaqPath","N",0.01,"1","3","1",19.451,"1-3-1","3-1",1
"QuantStudio5","TaqPath","N",0.001,"1","3","1",23.712,"1-3-1","3-1",1
"QuantStudio5","TaqPath","N",1e-04,"1","3","1",25.916,"1-3-1","3-1",1
"QuantStudio5","TaqPath","N",1e-05,"1","3","1",29.58,"1-3-1","3-1",1
"QuantStudio5","TaqPath","N",1e-06,"1","3","1",32.874,"1-3-1","3-1",1
"QuantStudio5","TaqPath","N",1e-07,"1","3","1",36.389,"1-3-1","3-1",1
"QuantStudio5","TaqPath","N",1e-08,"1","3","1",NA,"1-3-1","3-1",1
"QuantStudio5","TaqPath","ORF1ab",1,"1","3","1",12.287,"1-3-1","3-1",1
"QuantStudio5","TaqPath","ORF1ab",0.1,"1","3","1",15.655,"1-3-1","3-1",1
"QuantStudio5","TaqPath","ORF1ab",0.01,"1","3","1",18.319,"1-3-1","3-1",1
"QuantStudio5","TaqPath","ORF1ab",0.001,"1","3","1",23.394,"1-3-1","3-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-04,"1","3","1",24.788,"1-3-1","3-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-05,"1","3","1",28.526,"1-3-1","3-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-06,"1","3","1",31.795,"1-3-1","3-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-07,"1","3","1",34.977,"1-3-1","3-1",1
"QuantStudio5","TaqPath","ORF1ab",1e-08,"1","3","1",37.658,"1-3-1","3-1",1
"QuantStudio5","TaqPath","S",1,"1","3","1",12.835,"1-3-1","3-1",1
"QuantStudio5","TaqPath","S",0.1,"1","3","1",15.97,"1-3-1","3-1",1
"QuantStudio5","TaqPath","S",0.01,"1","3","1",18.503,"1-3-1","3-1",1
"QuantStudio5","TaqPath","S",0.001,"1","3","1",23.468,"1-3-1","3-1",1
"QuantStudio5","TaqPath","S",1e-04,"1","3","1",24.907,"1-3-1","3-1",1
"QuantStudio5","TaqPath","S",1e-05,"1","3","1",28.59,"1-3-1","3-1",1
